activity_name,region,neighborhood,lifestyle,cost_mad,duration_hrs,type,difficulty,rating,time_of_day,seasonal_availability,latitude,longitude,description,id
Authentic Traditional Dinner Show Experience in Marrakesh,Marrakesh,Medina,food_lover,392,3.5,food,easy,4.5,afternoon,year_round,31.586357,-7.953942,Experience the authentic flavors and culture of Marrakesh with this traditional dinner show.,1
Exclusive Cultural Monument Tour in Agadir,Agadir,Talborjt,explorer,190,1.3,culture,easy,4.0,afternoon,year_round,30.420872,-9.629857,Explore the hidden gems of Talborjt with this guided cultural monument tour.,2
Port Spa Treatment,Essaouira,Port,comfort_seeker,451,2.2,relaxation,easy,4.5,morning,spring_fall,31.479464,-9.772718,Explore the hidden gems of Port with this guided spa treatment.,3
Traditional Fine Dining Experience - Safi,Safi,Port Area,food_lover,733,2.5,food,easy,4.0,evening,year_round,32.271369,-9.246044,Experience the authentic flavors and culture of Safi with this fine dining experience.,4
Authentic Mountain Excursion Experience in Marrakesh,Marrakesh,Hivernage,explorer,366,7.4,nature,hard,3.5,afternoon,year_round,31.608547,-8.003008,Explore the hidden gems of Hivernage with this guided mountain excursion.,5
Exclusive Historic Site Exploration in Agadir,Agadir,Talborjt,explorer,158,3.2,culture,moderate,3.0,afternoon,year_round,30.422163,-9.608881,Discover the best of Agadir during this unforgettable historic site exploration.,6
Essaouira's Best Traditional Hammam,Essaouira,Port,comfort_seeker,462,1.4,relaxation,easy,4.0,morning,winter_only,31.470408,-9.803107,A must-do traditional hammam for visitors to Essaouira.,7
"Beach Lounging in Chaâba, Safi",Safi,Chaâba,comfort_seeker,139,2.7,nature,easy,3.5,afternoon,summer_only,32.25795,-9.263081,Immerse yourself in the local Chaâba area with this nature experience.,8
Marrakesh's Best Street Food Tour,Marrakesh,Medina,food_lover,290,2.3,food,easy,3.5,evening,year_round,31.670714,-7.958021,Experience the authentic flavors and culture of Marrakesh with this street food tour.,9
Talborjt Traditional Dinner Show,Agadir,Talborjt,food_lover,371,4.0,food,easy,3.5,afternoon,year_round,30.459122,-9.561618,A must-do traditional dinner show for visitors to Agadir.,10
Port Sunset Yacht Cruise,Essaouira,Port,comfort_seeker,702,2.0,nature,easy,4.0,morning,year_round,31.528696,-9.797837,A must-do sunset yacht cruise for visitors to Essaouira.,11
"Resort Day Pass in Nouvelle Ville, Safi",Safi,Nouvelle Ville,comfort_seeker,454,5.5,relaxation,easy,4.0,morning,year_round,32.29761,-9.225732,A must-do resort day pass for visitors to Safi.,12
Marrakesh's Best Food Market Exploration,Marrakesh,Medina,food_lover,155,1.6,food,easy,3.5,morning,year_round,31.627981,-7.984712,Immerse yourself in the local Medina area with this food experience.,13
Unforgettable Beach Lounging in Agadir,Agadir,Marina Bay,comfort_seeker,104,4.2,nature,easy,5.0,morning,year_round,30.438633,-9.559336,Immerse yourself in the local Marina Bay area with this nature experience.,14
Cultural Monument Tour Adventure - Borj,Essaouira,Borj,explorer,135,1.4,culture,easy,4.0,afternoon,year_round,31.536656,-9.75995,A must-do cultural monument tour for visitors to Essaouira.,15
Authentic Fine Dining Experience Experience in Safi,Safi,Nouvelle Ville,food_lover,723,2.9,food,easy,4.0,morning,year_round,32.270108,-9.213284,A must-do fine dining experience for visitors to Safi.,16
Authentic Food Market Exploration Experience in Marrakesh,Marrakesh,Gueliz,food_lover,134,1.5,food,easy,4.5,evening,year_round,31.637695,-7.986435,Discover the best of Marrakesh during this unforgettable food market exploration.,17
Traditional Hammam Adventure - Founty,Agadir,Founty,comfort_seeker,326,1.3,relaxation,easy,3.5,evening,year_round,30.439755,-9.556595,Discover the best of Agadir during this unforgettable traditional hammam.,18
Borj Cooking Class,Essaouira,Borj,food_lover,433,2.9,food,moderate,5.0,evening,year_round,31.526031,-9.761861,Immerse yourself in the local Borj area with this food experience.,19
Exclusive Traditional Hammam in Safi,Safi,Nouvelle Ville,comfort_seeker,418,1.8,relaxation,easy,4.5,afternoon,spring_fall,32.288154,-9.251326,Experience the authentic flavors and culture of Safi with this traditional hammam.,20
Marrakesh Cultural Monument Tour Discovery,Marrakesh,Mellah,explorer,133,2.0,culture,easy,4.0,afternoon,year_round,31.660925,-8.008218,Discover the best of Marrakesh during this unforgettable cultural monument tour.,21
Authentic Food Market Exploration Experience in Agadir,Agadir,Founty,food_lover,127,1.3,food,easy,4.5,evening,year_round,30.467232,-9.566988,A must-do food market exploration for visitors to Agadir.,22
Mountain Excursion Adventure - Beach,Essaouira,Beach,explorer,414,5.7,nature,hard,4.5,morning,winter_only,31.502871,-9.794682,Experience the authentic flavors and culture of Essaouira with this mountain excursion.,23
Safi Traditional Dinner Show Discovery,Safi,Nouvelle Ville,food_lover,456,3.2,food,easy,4.0,evening,summer_only,32.262936,-9.219624,A must-do traditional dinner show for visitors to Safi.,24
Authentic Traditional Hammam Experience in Marrakesh,Marrakesh,Gueliz,comfort_seeker,413,1.1,relaxation,easy,4.0,morning,year_round,31.646765,-7.967585,Discover the best of Marrakesh during this unforgettable traditional hammam.,25
Agadir's Best Beach Lounging,Agadir,Sonaba,comfort_seeker,168,2.0,nature,easy,3.0,morning,year_round,30.412681,-9.599476,Discover the best of Agadir during this unforgettable beach lounging.,26
Traditional Cooking Class - Essaouira,Essaouira,Mellah,food_lover,497,3.5,food,moderate,3.5,evening,year_round,31.541045,-9.771622,Explore the hidden gems of Mellah with this guided cooking class.,27
Safi's Best Fine Dining Experience,Safi,Beach District,food_lover,786,2.8,food,easy,3.5,morning,year_round,32.323787,-9.257584,Immerse yourself in the local Beach District area with this food experience.,28
Exclusive Spa Treatment in Marrakesh,Marrakesh,Medina,comfort_seeker,463,2.0,relaxation,easy,4.5,morning,year_round,31.61774,-7.943603,Immerse yourself in the local Medina area with this relaxation experience.,29
Authentic Cultural Monument Tour Experience in Agadir,Agadir,City Center,explorer,166,2.0,culture,easy,3.5,morning,winter_only,30.442486,-9.641872,Immerse yourself in the local City Center area with this culture experience.,30
Unforgettable Garden Tour & Tea in Essaouira,Essaouira,Port,comfort_seeker,389,2.9,relaxation,easy,4.0,evening,year_round,31.54216,-9.752674,Explore the hidden gems of Port with this guided garden tour & tea.,31
Unforgettable Garden Tour & Tea in Safi,Safi,Chaâba,comfort_seeker,271,2.6,relaxation,easy,3.5,morning,year_round,32.285194,-9.243596,Experience the authentic flavors and culture of Safi with this garden tour & tea.,32
Street Food Tour Adventure - Palmeraie,Marrakesh,Palmeraie,food_lover,297,2.2,food,easy,5.0,morning,year_round,31.652119,-7.94261,Immerse yourself in the local Palmeraie area with this food experience.,33
Agadir's Best Guided City Walk,Agadir,City Center,explorer,281,3.4,culture,moderate,3.0,afternoon,spring_fall,30.452331,-9.637497,Experience the authentic flavors and culture of Agadir with this guided city walk.,34
Mellah Street Food Tour,Essaouira,Mellah,food_lover,298,2.2,food,easy,4.5,morning,year_round,31.490979,-9.799547,A must-do street food tour for visitors to Essaouira.,35
Authentic Local Café Crawl Experience in Safi,Safi,Chaâba,food_lover,157,2.2,food,easy,4.0,afternoon,spring_fall,32.33313,-9.216391,Immerse yourself in the local Chaâba area with this food experience.,36
Marrakesh Artisan Workshop Visit Discovery,Marrakesh,Mellah,explorer,232,1.6,culture,easy,3.0,morning,year_round,31.653425,-7.955284,Discover the best of Marrakesh during this unforgettable artisan workshop visit.,37
Agadir Local Café Crawl Discovery,Agadir,Talborjt,food_lover,161,2.0,food,easy,3.5,evening,spring_fall,30.405778,-9.638733,Explore the hidden gems of Talborjt with this guided local café crawl.,38
"Garden Tour & Tea in Medina, Essaouira",Essaouira,Medina,comfort_seeker,324,2.7,relaxation,easy,4.5,morning,year_round,31.475897,-9.775923,Immerse yourself in the local Medina area with this relaxation experience.,39
Traditional Local Café Crawl - Safi,Safi,Chaâba,food_lover,174,1.7,food,easy,4.5,afternoon,year_round,32.307296,-9.197709,A must-do local café crawl for visitors to Safi.,40
